,name,m_p,a_p,ast_acc,alpha
0,HIP 677,125.24248662791638,9.824013115263691,2.467997352161599,0.22022581964559185
1,HIP 1067,3201.347588296067,14.736632939191447,6.946314864069862,2.50167402067342
2,HIP 2081,2.1666251050159007,5.337945941005397,0.1656034285345068,0.012904163262429102
3,HIP 3092,5.101001857315889,5.306689341643475,0.3167235260437548,0.030739908706931877
4,HIP 3419,14.044560461439104,6.514517370535082,0.6338752264862724,0.05616141994857699
5,HIP 5447,1.0109216005925716,4.86705141838243,0.039881254984091105,0.00724235865328531
6,HIP 6867,2.1840607505831806,3.998952367372622,0.10785265387001233,0.02317750441332643
7,HIP 8903,41.62424350732505,7.547820637831089,2.2980060532859965,0.1239931323715466
8,HIP 9884,1.145470766921648,5.317626950381188,0.11356715336059593,0.006874525021827841
9,HIP 10064,106.03899672084493,7.357895893368385,2.8486138073759695,0.33239367647327533
10,HIP 13847,166.08774240106166,8.80537985994298,2.4513788707815762,0.3635262784154587
11,HIP 14135,0.7986761674773777,3.964860126712023,0.03762078003364946,0.008622027509621726
12,HIP 17702,896.1371586634838,9.546320588983875,4.500120502959326,1.668771509132012
13,HIP 18246,3550.5792184000156,12.942683346220221,5.2037143696716495,3.5970375827223378
14,HIP 18543,2.198852111575996,4.853946794888151,0.0846805221768055,0.015838002900898786
15,HIP 21421,0.10957418951672566,4.607649753599473,0.014288494746167193,0.0008758783048324802
16,HIP 23015,4.809392869282153,4.431550175462231,0.100423688781795,0.04155978898696183
17,HIP 23685,4.996728493083303,5.040210785378545,0.1701253392855663,0.03337972647852838
18,HIP 23875,61.92403177587419,7.68020640763398,2.167601640872284,0.17815903897580418
19,HIP 24436,140.36703436449082,11.627150107843823,0.22201562044841233,0.17620287337175583
20,HIP 25336,510.2713491407754,13.480872445496928,2.0521110768705517,0.47649638007830153
21,HIP 25428,113.61191295964794,10.205331703354224,1.5032114386836686,0.18512456141424488
22,HIP 25606,14.212048673189576,5.6001623525658095,0.5214102509471319,0.07690416680636164
23,HIP 25930,2580.6015279979497,14.955769419811796,3.0739549705464335,1.9579331022588748
24,HIP 25985,838.6754564426736,7.2269365681735085,1.3352910819866464,2.7250838407890745
25,HIP 26241,24755.813021746482,17.827085805194095,6.169041412114251,13.219374454530538
26,HIP 26311,3456.771897705968,14.620081200960088,1.5094831281605245,2.744514778473681
27,HIP 26451,1481.8034819216577,11.703467547668737,4.485786926684867,1.8359291650824827
28,HIP 26634,659.7432596717549,10.869094962532197,3.9425385330519402,0.9477256089067163
29,HIP 26727,584.9042918510788,12.764044193113536,0.8996738588808519,0.6092599495807124
30,HIP 27366,1786.1228658351736,14.964161274159196,2.2741037394297394,1.3536331782319877
31,HIP 27628,4.231437003357512,4.887017974045131,0.37493922803970303,0.030067299762606498
32,HIP 27989,0.08676183909177379,3.7796457474440897,0.0022503031139693664,0.0010306731819707021
33,HIP 29655,2.5808086855620087,4.044916149422764,0.0422164040935174,0.02676894070860505
34,HIP 30122,1363.703096635923,12.08451805895861,4.754193257518123,1.5847310858393746
35,HIP 30324,1964.8986362044127,15.65472086961924,3.0024836399852655,1.3606421329238363
36,HIP 30343,0.5224067710474561,3.842294228177784,0.02818404872958091,0.006005124019086842
37,HIP 31681,51.15875196343856,8.159310369419563,1.297134525097709,0.1304089670004399
38,HIP 32246,28.72530544058442,5.242417420668659,0.22822432406600732,0.17737641766788131
39,HIP 32349,0.18184735488034373,7.809792764571203,0.06395594431160068,0.0005059672290678042
40,HIP 33579,852.1929621652155,15.784552435096488,1.5575516065021007,0.5804540148455033
41,HIP 33856,9.169496892620817,3.940894152226005,0.09719012073957314,0.10019600076244654
42,HIP 33977,11526.750714798822,12.748354205127498,4.734278811431336,12.036302062961024
43,HIP 34444,124.80220219966162,6.437675410877354,0.34580661848885896,0.5110442637766388
44,HIP 35264,41.81459666636844,4.914679319235335,0.39563260151889373,0.29378658528630724
45,HIP 35904,3412.27917356837,12.371811792862907,2.0682115542081476,3.7833138186734407
46,HIP 36188,223.35779667158445,9.1916002387635,3.016462463075046,0.4486557952020396
47,HIP 36377,1.9915450340680292,4.143764967231418,0.11048801099738526,0.019683137351078135
48,HIP 36850,30.57785308374528,10.589054434456827,0.9891435136006629,0.046279328459170134
49,HIP 37279,0.3373156174494908,6.503911170862599,0.12836134670489832,0.0013532613161185512
50,HIP 37819,7.2709154634681665,4.091811373656422,0.07074952663044524,0.07369742357338047
51,HIP 37826,0.637898633357439,5.337849994534771,0.12226422575151118,0.0037993855112340323
52,HIP 38170,75.35094419413258,5.305019633865238,0.41196163900589644,0.45436945478591517
53,HIP 39429,7454.675330922035,18.346088216600542,3.7712162804786735,3.7586873227362196
54,HIP 39757,21.650090692546712,6.6813577615758275,1.408233578358571,0.08230470943065873
55,HIP 39953,4493.580657764768,18.424945490204152,2.1864328074883987,2.2463350761867114
56,HIP 43813,13.2847273010925,5.397503386293106,0.5032655841717117,0.07738578946771581
57,HIP 44816,1.44782486506994,3.9378826097514046,0.031636649877337365,0.0158447328267132
58,HIP 45860,3.3377226935071893,4.90849805577562,0.11523053330125055,0.02350971830522923
59,HIP 46390,1.6382421599414467,5.093526616065752,0.06461787488423015,0.010716065486605333
60,HIP 47908,26.358619499568352,5.656507017009048,0.6160707948964542,0.13980426510509553
61,HIP 49669,46.78045717721051,9.61752049683287,1.176711765858454,0.08582872106917973
62,HIP 50583,2.488660649523828,5.588575305153485,0.11300325826420343,0.013522527913546481
63,HIP 52727,7.444298817322787,5.479225292338918,0.3905061504835758,0.04208040414693705
64,HIP 52943,5.880495955610933,5.2664958271881135,0.2721310694684182,0.03598030887638848
65,HIP 54872,36.611697602134974,7.516559320529851,2.0461840075716906,0.10997047693864334
66,HIP 57632,15.833298235701305,7.214448892942329,1.5644075141575566,0.05162493171788218
67,HIP 59316,10.655490971283648,5.24907074075182,0.22445492571618333,0.0656300952386501
68,HIP 59803,270.15593195481836,9.651337859384293,3.483073426696153,0.49219125200605085
69,HIP 60965,134.45129188666183,8.268556309797995,4.1772330932870725,0.333733669237316
70,HIP 61359,11.169251478176102,5.882768424933686,0.40877829054492676,0.0547715440658678
71,HIP 61932,64.81763728373926,7.488153088522148,1.6386945127399166,0.19617252746287908
72,HIP 61941,12.047817636609388,6.9764543885257835,1.1983517506561547,0.0420081240005663
73,HIP 63090,15.461965305761936,5.376912082206079,0.4973633764056004,0.09075974022000008
74,HIP 63608,9.04710028617882,5.82832185177306,0.4483616351281396,0.04519774547662697
75,HIP 64962,13.340250391571796,5.84676773596993,0.5379736354584445,0.06622572451273423
76,HIP 65109,59.304915534420985,7.652837949914201,3.1785829385453326,0.17184625726502067
77,HIP 65474,330.5709439641656,14.373845743969264,1.18204785979661,0.2715270734601708
78,HIP 67927,6.48271756681135,6.216157834064974,0.8327858277874021,0.02847131035170606
79,HIP 68002,2664.7494704137903,14.882627192829581,5.812034923552339,2.041698450896606
80,HIP 68895,6.663172292270961,5.432275238895576,0.41256577584579984,0.03831880271013621
81,HIP 68933,1.5931770357531474,5.33105959314135,0.17583757246643247,0.009513304191150538
82,HIP 69673,0.07115715372261157,5.214764068547659,0.013148677304937873,0.0004440620501498775
83,HIP 71352,748.211018866987,12.641897924823551,2.8257720568396567,0.7945001097018716
84,HIP 71860,1927.9751173874351,14.941629211839361,3.429381437260852,1.4655476227610478
85,HIP 72105,7.339823788554554,5.54263736982557,0.21759641924221007,0.04054591662898324
86,HIP 72622,55.317114689288786,7.4921150078855705,2.398806188134279,0.16724189087619887
87,HIP 73273,2992.5112758792334,14.864971572527985,6.527101857240207,2.2982753018451434
88,HIP 73714,1.0136455100819182,3.852213952662049,0.043701975767095766,0.011592036012492243
89,HIP 74785,363.7779896873815,10.114292947528131,3.544413907297813,0.6034756936375392
90,HIP 76267,58.32559680414281,8.472179926758312,1.99770675499509,0.1378996839619252
91,HIP 76297,1194.1861138372358,7.7539980282836725,8.70754069113648,3.370660912697992
92,HIP 77070,2.5545332854954603,5.160403677352831,0.23930731223254215,0.016279408995411027
93,HIP 78265,2328.484596096795,13.8212622853098,3.840663984789763,2.068580243154271
94,HIP 78401,1251.120408860108,13.028169244018192,2.768685143467582,1.250911962410052
95,HIP 78820,1275.829085200251,12.516396845546652,3.7177531490083062,1.3820643676610804
96,HIP 79593,1.4605398486312149,4.85589086784278,0.06678387846975578,0.01051162830059115
97,HIP 79882,9.512820440231014,5.399195726635995,0.565604795783465,0.05537905963937321
98,HIP 80112,981.9892907237954,12.014289198212325,1.8010659133529618,1.1545294316365138
99,HIP 80763,0.1440917838338197,4.0745393039627995,0.002891815994828909,0.0014729113725783917
100,HIP 80816,9.700820112305948,5.4937931407621035,0.4261815247449408,0.054545416989540206
101,HIP 81266,6560.42914971206,18.328848861376372,7.600172919717678,3.3140288894117784
102,HIP 81377,946.5573953208318,12.151462744369177,3.231027863698876,1.087888169595581
103,HIP 81693,12.674619366690324,9.713544029493198,0.7091325093587649,0.022796801629621676
104,HIP 82396,1.7417173259780123,5.465634045028293,0.16883203982622033,0.009894434840372359
105,HIP 82514,5781.647353019053,14.543662766693991,5.76206692992469,4.638722873949837
106,HIP 83000,5.554191560379991,5.415917686983335,0.38197175358108665,0.032134471697791926
107,HIP 84012,54.896553004596676,7.394656551159545,2.0961688895181663,0.17037406308736114
108,HIP 84345,0.1149636147260787,3.479594838662966,0.004871733326413287,0.0016113781675016381
109,HIP 84380,10.846180572481131,5.123495073108411,0.2024115275767065,0.07011946682795837
110,HIP 85696,3132.9900638830395,14.123436108152822,5.0288406618091965,2.6654632483087615
111,HIP 85792,770.5864401070488,11.292817956697915,4.170131061460903,1.0254420642936646
112,HIP 85927,1651.6565731864496,14.850103961603757,2.4191903196567597,1.27102818896152
113,HIP 86032,16.762141423722387,7.334416396387581,1.183281810248015,0.052880164319142636
114,HIP 86228,45.15858778524316,6.767292617239093,0.6057779086848288,0.16734196372509083
115,HIP 86670,2867.1563742526196,15.614730374986173,4.490134388420303,1.995615283742357
116,HIP 86742,3.166704798588551,5.176563596660375,0.26639493534922254,0.02005482574774574
117,HIP 87073,1493.0025215538321,7.1519874416929685,2.790402967964624,4.953378049641344
118,HIP 87261,7.763816466303099,5.437670172370166,0.36738131097763654,0.044559874380727324
119,HIP 88635,6.695103051952149,5.597588802632595,0.4069785910916536,0.036261828728095066
120,HIP 89642,0.548912323552377,4.098257710687869,0.041319508327786525,0.005546242728561949
121,HIP 89931,7.890424392305221,5.208152775806751,0.15435081826752245,0.049365933347821675
122,HIP 89962,5.500293431781747,5.380026978554033,0.5797230095576141,0.032248637653863196
123,HIP 90185,68.61255334923496,8.749342949344298,1.1539795829008435,0.15210627191135898
124,HIP 90496,4.381002674796586,5.573116178057299,0.3328854329043956,0.02393711166618377
125,HIP 92855,579.045487176412,12.593336985004925,2.957652968527123,0.6196200353059615
126,HIP 93506,72.73155678043786,7.82182665449303,2.4868327729424964,0.2017441405848429
127,HIP 93747,112.33663541823746,8.090562435104856,3.8133672260888622,0.2912449510760332
128,HIP 93864,6.6026460075744975,5.343790449113441,0.37040592241989045,0.039238608282620505
129,HIP 94141,201.2648745777498,6.848923000804132,1.5533758871529504,0.7281449471029455
130,HIP 95947,14.442823954601685,4.975149720363361,0.24788652012541096,0.09902257794623606
131,HIP 97278,4.724694448038826,4.4591620221123165,0.11102491141028456,0.04032381770349318
132,HIP 97649,1.3500201905321298,7.016863775555118,0.30237827034409026,0.004653166509526909
133,HIP 98337,5.626087722621993,4.9140581880013725,0.16632534413684658,0.03953851286929792
134,HIP 100345,53.737027023698,5.702379627091896,0.5490187220654443,0.28045023177584033
135,HIP 101772,7.901532664828865,5.6122559579818985,0.4707117482454968,0.042572663392719035
136,HIP 102488,2.5648715650795153,5.235120487815981,0.23748965401393196,0.015882054436954878
137,HIP 104732,12.84746522256074,5.155062855520919,0.6232567801458804,0.0820434550433366
138,HIP 106278,62.07363942894518,6.02541135394922,0.5870778067010296,0.29015377596426506
139,HIP 107315,44.77544788581568,5.130838796404607,0.4550902229651876,0.28864073338172574
140,HIP 107556,17.91272402459584,6.888291873835499,1.7996361676641277,0.06406679130167774
141,HIP 108085,586.7779634626929,10.152199590554915,4.975711030835227,0.966157481715578
142,HIP 109074,43.04823429264655,5.497543645798502,0.5019716420628372,0.24171989184406287
143,HIP 109268,94.58104692888737,10.05208541528628,1.7097514756504957,0.15884962610565148
144,HIP 112122,0.10592525831484115,3.72802478224535,0.007945851630039816,0.0012934104660943815
145,HIP 112158,18.324509538812546,5.789115113216971,0.5143921061850775,0.09279026376092744
146,HIP 113368,4.7965990357998685,7.346388249764384,0.6526299168268754,0.015082734384720946
147,HIP 113881,0.44649823996867216,3.8926248935631382,0.027737104817716116,0.005000679955117089
148,HIP 113963,126.05629032063973,8.609169329331262,2.353269364390568,0.2886266595736592
