,HIP,Sn,So,Nc,RArad,e_RArad,DErad,e_DErad,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Ntr,F2,F1,var,Hpmag,e_Hpmag,sHp,VA,bv,e_BV,VI,hip2_oid,ic,UW
74,HIP_63608,5,0,1,3.412901216,0.12,0.191272411,0.1,29.75,0.14,-273.8,0.13,19.97,0.1,82,-1.56,0,0.0,2.998,0.0008,0.004,0,0.934,0.015,0.83,63390,0,"7.79,3.28,9.46,0.58,1.63,6.21,1.96,1.17,-1.15,7.56,2.24,2.35,-1.31,4.58,9.16"
75,HIP_64962,5,0,1,3.485949999,0.14,-0.404417442,0.08,24.35,0.15,68.99,0.17,-41.86,0.09,122,-1.12,0,0.0,3.1521,0.0004,0.004,0,0.92,0.003,0.9,64742,0,"7.57,5.30,11.58,0.78,-0.05,6.34,0.43,1.98,-1.15,6.42,3.33,3.43,-2.35,6.33,10.05"
76,HIP_65109,5,0,1,3.493281267,0.12,-0.640746686,0.1,55.49,0.17,-341.12,0.17,-86.15,0.12,109,-0.33,2,0.0,2.7717,0.0004,0.004,0,0.068,0.004,0.02,64889,0,"9.16,3.39,9.84,0.48,0.27,5.97,2.14,1.02,-1.11,6.08,1.88,0.55,-1.46,2.69,7.86"
77,HIP_65474,7,0,1,3.513319026,0.59,-0.194800473,0.38,13.07,0.69,-42.36,0.62,-30.67,0.37,92,27.42,0,0.0,0.8891,0.0022,0.014,1,-0.235,0.008,-0.25,65254,783,"7.66,5.16,10.88,1.73,-0.77,5.73,-0.69,-0.75,-0.93,7.44,-1.53,-3.44,-0.56,6.49,10.20"
78,HIP_67927,75,4,1,3.642001559,0.98,0.321115916,0.66,87.77,1.24,-60.95,1.14,-356.29,0.73,103,56.32,3,0.0,2.7957,0.0004,0.004,0,0.58,0.0,0.65,67695,0,"7.54,-1.59,12.16,0.12,0.74,5.86,-0.19,-1.21,0.41,6.34,-1.90,4.30,-0.85,-0.56,9.87"
79,HIP_68002,5,0,1,3.645733552,0.11,-0.825335943,0.08,8.57,0.13,-57.35,0.1,-44.55,0.08,110,-2.25,0,0.0,2.4419,0.0006,0.007,0,-0.176,0.005,-0.18,67770,0,"8.98,0.42,11.82,2.47,-0.11,6.40,0.98,2.90,0.05,8.23,3.86,-4.17,-0.10,-0.29,10.88"
80,HIP_68895,5,0,1,3.692990812,0.14,-0.465689076,0.12,32.29,0.17,43.7,0.17,-141.2,0.14,89,-0.29,0,0.0,3.4187,0.0005,0.004,0,1.091,0.055,1.1,68659,0,"7.35,2.80,9.65,0.75,1.00,6.00,-0.27,-0.11,0.09,5.72,-0.24,3.81,-2.01,1.30,6.80"
81,HIP_68933,5,0,1,3.694376579,0.16,-0.634753483,0.11,55.44,0.2,-520.52,0.21,-518.07,0.15,85,1.95,0,0.0,2.2226,0.0004,0.004,0,1.011,0.013,1.01,68697,0,"7.75,2.02,11.26,1.13,-0.37,6.37,2.33,0.15,1.02,5.56,0.83,3.33,-2.86,-0.09,7.67"
82,HIP_69673,55,3,2,3.73357542,0.4,0.334881044,0.34,88.83,0.53,-1093.38,0.44,-2000.08,0.38,96,28.86,1,0.0,0.1114,0.002,0.015,2,1.239,0.006,1.22,69435,0,"9.89,3.46,11.16,0.13,1.11,7.24,-0.29,0.08,0.14,9.65,-0.01,0.07,2.01,4.92,9.91"
83,HIP_71352,5,0,1,3.820122234,0.17,-0.735791467,0.11,10.66,0.21,-34.73,0.24,-32.7,0.19,128,4.17,2,0.0,2.2729,0.0016,0.024,1,-0.157,0.004,-0.17,71110,0,"7.86,0.58,13.39,0.65,-0.39,6.08,1.86,-0.57,0.53,5.43,-0.83,4.42,0.77,-0.51,6.89"
84,HIP_71860,5,0,1,3.848143665,0.11,-0.827079091,0.09,7.02,0.17,-20.93,0.14,-23.67,0.14,180,2.88,3,0.0,2.2296,0.0011,0.01,1,-0.154,0.002,-0.21,71618,0,"12.36,6.55,12.87,0.60,-0.90,6.77,0.14,-1.25,1.07,8.60,-1.23,2.12,-0.61,1.24,8.51"
85,HIP_72105,15,3,2,3.861486489,0.42,0.472533475,0.36,16.12,0.65,-50.92,0.59,20.99,0.58,100,22.19,1,0.0,2.5167,0.0005,0.004,0,0.966,0.004,0.95,71863,0,"7.93,-0.77,9.38,1.89,2.30,4.72,-0.49,0.07,1.40,6.18,0.13,-0.92,1.31,3.62,5.20"
86,HIP_72622,5,0,1,3.887195655,0.15,-0.279978917,0.1,43.02,0.19,-105.69,0.2,-68.4,0.12,77,-0.76,2,0.0,2.7892,0.0004,0.003,0,0.147,0.005,0.16,72379,0,"7.12,4.53,9.95,1.16,1.60,5.35,-0.13,1.26,-2.05,4.73,1.67,1.04,-0.71,1.72,7.61"
87,HIP_73273,5,0,1,3.920587929,0.12,-0.752827999,0.09,8.53,0.18,-35.78,0.17,-39.82,0.13,149,1.53,1,0.0,2.5982,0.0005,0.005,0,-0.184,0.002,-0.23,73029,0,"10.44,7.04,12.27,0.40,-1.41,6.70,1.36,-0.72,2.65,6.75,0.07,0.12,0.45,-2.02,8.58"
88,HIP_73714,5,0,1,3.94475405,0.23,-0.441251627,0.14,11.3,0.25,-71.14,0.42,-43.34,0.23,45,0.51,0,0.0,3.3093,0.01,0.06,0,1.674,0.038,2.23,73469,0,"4.63,-1.39,7.86,-0.24,1.49,4.61,0.04,0.28,-0.72,3.03,0.47,0.03,2.33,-3.03,4.52"
89,HIP_74785,5,0,1,4.001201622,0.13,-0.163761916,0.1,17.61,0.15,-98.09,0.18,-19.66,0.15,64,-2.08,1,0.0,2.5739,0.0006,0.005,0,-0.071,0.004,-0.08,74539,0,"6.73,3.25,8.82,1.29,1.48,5.22,-0.88,0.74,0.18,4.96,0.55,-0.17,-0.34,2.57,5.48"
90,HIP_76267,75,4,1,4.078339186,0.17,0.466263148,0.17,43.47,0.28,120.27,0.19,-89.59,0.2,135,12.75,0,0.0,2.221,0.0006,0.007,2,0.032,0.003,0.05,76018,0,"12.00,-0.46,11.51,0.51,-0.06,6.85,-4.53,0.46,0.89,10.24,0.62,-1.70,0.84,1.29,9.21"
91,HIP_76297,15,3,2,4.080322376,0.54,-0.71849437,0.24,7.75,0.5,-15.57,0.69,-25.41,0.43,118,8.48,0,0.0,2.7,0.0013,0.009,1,-0.216,0.015,-0.22,76048,0,"3.65,2.03,7.50,0.46,0.49,3.23,-1.26,-0.41,0.13,2.36,-1.54,-1.37,-0.22,-0.71,3.74"
92,HIP_77070,5,0,1,4.120140279,0.16,0.112146476,0.12,44.1,0.19,133.83,0.21,44.79,0.19,74,1.27,0,0.0,2.7971,0.0004,0.003,0,1.167,0.015,1.09,76817,0,"7.35,1.10,9.71,1.93,1.28,5.98,-1.49,0.16,-0.20,5.40,-0.01,-1.71,0.79,1.24,5.84"
93,HIP_78265,1,0,1,4.183781158,0.56,-0.455776027,0.27,5.57,0.64,-11.39,0.78,-26.85,0.75,110,0.06,0,2.0,2.8274,0.0015,0.013,1,-0.18,0.005,-0.18,78012,0,"1.96,0.20,4.49,0.42,-0.16,1.69,0.62,0.25,0.46,1.57,0.63,-0.77,0.66,0.96,1.34"
94,HIP_78401,57,3,2,4.190245499,0.79,-0.394821758,0.63,6.65,0.89,-10.2,1.01,-35.43,0.71,88,26.92,0,0.0,2.2617,0.0015,0.008,0,-0.117,0.024,-0.09,78148,921,"5.86,0.84,12.75,0.60,0.67,5.40,-1.32,-0.13,-1.31,4.43,-0.47,-2.80,-0.38,1.55,5.63"
95,HIP_78820,95,3,1,4.212514699,0.71,-0.345669341,0.48,8.05,0.78,-5.16,0.92,-24.07,0.63,70,28.86,0,0.0,2.594,0.0096,0.026,0,-0.065,0.023,-0.04,78562,0,"6.35,0.11,9.38,1.12,1.14,5.80,-0.28,-0.20,-0.30,4.79,-0.31,-0.07,1.52,-0.40,6.93"
96,HIP_79593,5,0,1,4.251386898,0.15,-0.064472038,0.12,19.06,0.16,-47.54,0.22,-142.73,0.14,48,-2.0,2,0.0,2.8283,0.0025,0.01,0,1.584,0.01,1.82,79334,0,"5.53,-0.31,7.65,0.36,1.76,5.10,-0.29,-1.11,1.07,3.61,-1.51,0.96,-0.01,0.38,5.49"
97,HIP_79882,5,0,1,4.268729261,0.15,-0.081901464,0.13,30.62,0.2,83.41,0.17,40.57,0.17,55,-1.48,0,0.0,3.3887,0.0009,0.005,0,0.966,0.014,0.96,79622,0,"6.29,1.94,7.64,2.41,2.32,4.46,-0.15,-0.39,1.49,5.99,-0.51,-1.17,-0.31,3.44,5.01"
98,HIP_80112,15,3,2,4.28124339,0.58,-0.446677796,0.35,4.69,0.6,-10.58,0.77,-16.27,0.43,77,21.32,0,0.0,2.9227,0.0026,0.024,1,0.299,0.003,0.31,79852,0,"6.20,0.73,10.12,0.27,0.30,5.70,-1.80,-1.01,-1.48,4.22,-1.86,-2.74,1.15,-1.22,7.45"
99,HIP_80763,1,2,1,4.317105909,0.87,-0.461324485,0.58,5.9,1.0,-12.1,1.22,-23.31,0.76,76,0.08,0,3.6,0.9757,0.0055,0.042,2,1.865,0.014,2.9,80501,0,"1.24,0.73,1.91,0.13,0.10,1.05,-0.07,-0.09,0.23,0.83,-0.18,-0.58,0.22,0.22,1.32"
100,HIP_80816,75,4,1,4.320654317,0.38,0.375065126,0.36,23.45,0.58,-99.15,0.37,-15.39,0.5,165,36.29,1,0.0,2.9378,0.0005,0.004,0,0.947,0.004,0.94,80553,0,"13.12,0.94,10.71,0.49,-0.02,6.35,8.50,3.29,-0.81,9.82,3.29,-0.82,0.76,0.92,7.29"
101,HIP_81266,1,0,1,4.345357831,0.51,-0.492461432,0.4,6.9,0.53,-9.88,0.61,-22.84,0.54,94,0.02,0,2.0,2.7374,0.0004,0.003,0,-0.206,0.003,-0.24,81002,0,"2.34,1.78,3.57,0.22,-0.15,1.97,-0.03,-0.10,0.56,2.10,-0.17,-1.96,0.65,1.48,1.83"
102,HIP_81377,5,0,1,4.350926202,0.2,-0.184431591,0.15,8.92,0.21,15.29,0.26,24.78,0.22,74,1.45,4,0.0,2.5708,0.0012,0.009,0,0.038,0.051,0.1,81112,0,"6.41,3.62,9.68,1.43,0.01,5.47,-1.30,-0.20,0.10,4.98,-1.04,-4.04,-0.25,2.95,5.08"
103,HIP_81693,15,3,2,4.368957427,0.3,0.551556974,0.37,93.31,0.47,-461.55,0.38,342.27,0.48,153,35.0,1,0.0,2.9338,0.0004,0.004,0,0.65,0.011,0.7,81426,0,"12.24,-0.44,9.95,0.11,1.35,7.69,-1.07,-0.33,-0.05,9.63,-0.23,0.50,0.33,-0.05,7.63"
104,HIP_82396,5,0,1,4.407701394,0.19,-0.598518944,0.12,51.21,0.23,-614.85,0.22,-255.98,0.13,52,0.53,1,0.0,2.4532,0.0008,0.005,0,1.144,0.032,1.1,82127,0,"5.71,0.32,8.84,1.43,1.47,4.78,0.70,0.19,1.01,4.89,0.33,-0.43,1.31,0.66,7.91"
105,HIP_82514,1,5,1,4.415118608,0.8,-0.664051124,0.63,6.53,0.91,-10.57,0.87,-22.06,0.74,61,0.46,0,3.4,2.9245,0.0124,0.081,1,-0.2,0.16,-0.2,82245,0,"1.41,0.23,1.71,0.45,0.25,1.15,0.22,0.25,-0.02,1.23,0.34,0.10,0.18,0.36,1.41"
106,HIP_83000,5,0,1,4.440428182,0.16,0.163625604,0.11,35.65,0.2,-292.13,0.17,-10.38,0.12,100,0.71,4,0.0,3.3612,0.0006,0.005,0,1.16,0.43,1.1,82726,0,"7.75,-3.19,10.43,1.15,1.85,5.15,-0.04,-2.42,0.01,6.56,-3.24,-0.04,0.51,-3.16,8.57"
107,HIP_84012,17,3,2,4.495870888,0.97,-0.274455604,0.37,36.87,0.8,40.17,1.06,99.15,0.38,77,18.31,1,0.0,2.4393,0.0008,0.004,0,0.059,0.01,0.06,83736,991,"4.76,-3.64,8.98,1.65,0.24,4.21,-1.68,0.29,-0.17,3.39,1.82,-3.09,2.06,-2.60,8.04"
108,HIP_84345,15,3,2,4.514502283,0.94,0.251157294,0.88,9.1,1.32,-7.39,0.91,36.03,0.97,80,46.48,0,0.0,2.9137,0.0189,0.144,2,1.164,0.031,1.13,84068,0,"7.70,-0.55,7.98,0.71,0.83,5.25,-0.84,-2.19,0.57,7.29,-2.21,0.45,1.89,-0.70,6.85"
109,HIP_84380,5,0,1,4.516247006,0.09,0.642440958,0.11,8.65,0.12,-27.29,0.1,2.81,0.13,140,-0.29,0,0.0,3.3121,0.0006,0.006,0,1.437,0.0,1.31,84103,0,"11.25,-0.19,9.53,0.67,-0.85,8.32,0.27,-0.26,0.27,10.31,-0.22,-1.36,-0.04,0.24,7.53"
110,HIP_85696,5,0,1,4.584822783,0.17,-0.650933466,0.13,5.68,0.18,-2.38,0.22,-30.08,0.16,70,0.74,0,0.0,2.6043,0.0009,0.005,0,-0.179,0.004,-0.23,85417,0,"7.04,0.86,10.05,1.88,1.20,5.82,-2.26,0.08,0.13,4.83,-0.16,-4.07,0.52,0.46,6.81"
111,HIP_85792,1,0,1,4.589526647,0.73,-0.870500097,0.36,12.22,0.85,-33.29,0.84,-67.22,0.32,83,0.18,0,2.2,2.7869,0.0034,0.028,2,-0.136,0.004,-0.15,85511,0,"1.82,-0.62,3.40,0.81,-0.17,1.21,-0.40,-0.70,-0.23,1.29,-1.18,1.74,0.29,-1.19,3.20"
112,HIP_85927,1,0,1,4.597235528,0.66,-0.647582579,0.5,5.72,0.75,-8.55,1.07,-30.8,0.61,67,0.28,0,2.5,1.5244,0.0029,0.016,1,-0.231,0.008,-0.24,85646,0,"1.67,0.39,2.57,0.37,0.52,1.39,-0.21,0.10,0.08,1.00,0.11,-0.95,0.34,0.55,1.66"
113,HIP_86032,1,1,1,4.603015368,0.87,0.219223406,0.71,67.11,1.06,108.07,0.87,-221.59,0.8,81,0.63,0,4.1,2.1262,0.0005,0.003,0,0.155,0.003,0.17,85750,0,"1.38,0.08,1.65,-0.05,0.08,1.02,0.21,-0.60,-0.02,1.21,-0.71,0.24,-0.29,-0.16,1.32"
114,HIP_86228,15,3,2,4.613423389,1.36,-0.750453537,1.07,10.86,1.49,5.53,2.01,-3.09,1.41,60,48.22,0,0.0,1.9269,0.0006,0.006,0,0.406,0.007,0.48,85946,0,"6.55,-1.14,9.01,1.37,0.35,5.58,-1.29,1.23,0.33,4.18,1.91,-3.51,0.72,-1.30,5.79"
115,HIP_86670,5,0,1,4.635978447,0.16,-0.681200628,0.12,6.76,0.18,-6.05,0.22,-25.54,0.13,52,-0.84,3,0.0,2.3164,0.0013,0.007,1,-0.171,0.006,-0.22,86384,0,"6.00,-0.98,8.67,0.45,1.58,5.25,0.18,1.42,0.76,4.38,2.02,-1.95,0.72,2.22,7.07"
116,HIP_86742,5,0,1,4.640276114,0.14,0.079707739,0.09,39.86,0.17,-41.44,0.14,159.34,0.09,159,1.14,3,0.0,2.9279,0.0003,0.004,0,1.168,0.022,1.1,86456,0,"9.36,6.07,13.48,0.02,-0.81,6.27,-2.62,-4.21,0.49,7.41,-7.77,-4.20,1.91,1.01,12.08"
117,HIP_87073,5,0,1,4.658216951,0.14,-0.700347953,0.1,1.71,0.15,0.03,0.19,-6.22,0.13,61,-2.32,0,0.0,3.1092,0.0012,0.007,0,0.509,0.009,0.64,86785,0,"6.22,-1.08,8.96,1.35,1.37,5.24,-1.45,1.03,-0.55,4.05,1.74,-3.17,0.33,0.09,6.24"
118,HIP_87261,5,0,1,4.668134059,0.14,-0.646528791,0.1,25.91,0.15,40.59,0.17,27.26,0.09,80,-3.13,1,0.0,3.3521,0.0005,0.004,0,1.192,0.003,1.15,86972,0,"6.13,-4.45,9.36,1.28,0.77,4.89,-1.36,2.11,0.21,4.52,4.21,-4.35,0.74,-1.23,7.97"
119,HIP_88635,5,0,1,4.737734403,0.17,-0.530992866,0.11,33.67,0.18,-53.92,0.23,-180.88,0.13,71,-1.84,0,0.0,3.1356,0.0006,0.003,0,0.981,0.047,0.99,88341,0,"5.45,-1.85,9.93,1.22,0.61,4.75,0.99,-0.28,0.91,3.75,-0.85,5.78,-1.12,-1.15,6.55"
120,HIP_89642,5,0,1,4.789309232,0.22,-0.641605393,0.16,22.34,0.24,-129.55,0.28,-166.25,0.16,70,1.11,0,0.0,3.1512,0.0026,0.013,2,1.582,0.004,2.24,89344,0,"5.55,-1.13,8.91,1.27,0.91,4.85,1.11,0.73,1.27,3.93,0.94,5.16,0.19,-0.07,6.83"
121,HIP_89931,5,0,1,4.803991253,0.16,-0.520597499,0.11,9.38,0.18,32.54,0.22,-25.58,0.14,77,-0.67,1,0.0,2.8654,0.0009,0.005,0,1.38,0.0,1.35,89633,0,"6.28,-1.33,10.58,1.80,-0.24,5.38,0.72,-0.47,0.58,4.37,-0.95,5.18,-0.82,-0.40,6.88"
122,HIP_89962,5,0,1,4.805394703,0.16,-0.050564318,0.12,53.93,0.18,-547.74,0.16,-701.42,0.13,55,-1.33,0,0.0,3.3995,0.0006,0.004,0,0.941,0.006,0.96,89664,0,"6.13,-0.77,7.94,1.57,1.80,4.89,1.00,-0.64,-0.70,5.49,-0.95,0.74,0.38,0.65,6.69"
123,HIP_90185,5,0,1,4.817861137,0.23,-0.600119501,0.14,22.76,0.25,-39.41,0.22,-124.21,0.14,54,0.55,0,0.0,1.7986,0.0008,0.004,0,-0.031,0.004,0.01,89886,0,"5.78,-2.15,9.10,2.74,0.24,4.25,1.59,-0.70,0.44,4.76,-1.69,4.83,0.91,1.49,7.29"
124,HIP_90496,5,0,1,4.834436192,0.15,-0.443684464,0.09,41.72,0.16,-44.76,0.18,-185.67,0.11,89,-2.54,0,0.0,2.9838,0.0005,0.005,0,1.025,0.038,1.04,90197,0,"6.22,-2.30,10.98,2.46,0.23,5.02,0.60,-0.61,0.36,4.55,-1.31,5.23,-1.16,-1.03,7.12"
125,HIP_92855,7,0,1,4.953529243,0.32,-0.458962152,0.18,14.47,0.37,15.21,0.31,-53.4,0.22,88,5.19,0,0.0,2.0095,0.0008,0.005,0,-0.134,0.006,-0.13,92544,1079,"5.87,-0.98,12.33,1.97,0.27,4.95,0.76,0.56,0.50,4.96,1.05,5.91,-0.37,0.93,7.56"
126,HIP_93506,17,3,2,4.985585579,0.95,-0.521506381,0.51,37.0,0.87,10.57,1.0,20.98,0.65,72,20.1,0,0.0,2.6212,0.0005,0.004,0,0.062,0.015,0.06,93193,1091,"4.68,0.74,9.60,0.48,-0.32,4.31,-0.11,0.53,0.05,3.40,1.07,3.36,0.40,1.22,5.60"
127,HIP_93747,5,0,1,4.997794846,0.16,0.241967378,0.12,39.27,0.17,-7.25,0.15,-95.56,0.12,73,-0.22,0,0.0,2.9935,0.0005,0.005,0,0.014,0.003,-0.01,93432,0,"7.28,-2.17,9.17,0.88,1.03,6.03,3.06,0.35,-0.19,6.51,-0.48,3.63,-2.00,-1.10,7.87"
128,HIP_93864,75,4,1,5.004472907,0.81,-0.482929371,0.46,26.84,0.86,-50.64,1.11,-249.81,0.66,74,24.99,0,0.0,3.4689,0.0006,0.004,0,1.169,0.044,1.15,93549,0,"4.84,0.59,10.65,0.18,-0.63,4.52,-0.14,0.89,0.39,3.38,1.94,4.40,1.46,0.48,5.72"
129,HIP_94141,5,0,1,5.016791403,0.4,-0.366929738,0.24,6.41,0.43,-1.34,0.47,-36.45,0.31,95,17.6,0,0.0,2.9664,0.0004,0.004,0,0.377,0.021,0.44,93826,0,"6.58,0.37,12.41,0.52,0.09,6.08,1.15,0.42,-0.79,5.48,0.86,4.96,0.87,-0.45,8.30"
130,HIP_95947,17,3,2,5.108235855,0.2,0.487988735,0.28,7.51,0.33,-7.16,0.25,-6.15,0.33,168,16.82,0,0.0,3.2177,0.0004,0.004,0,1.088,0.002,1.05,95628,1121,"11.90,2.09,8.69,1.16,0.84,6.33,-0.95,0.60,-0.41,9.28,0.27,-0.15,0.33,1.83,6.35"
131,HIP_97278,5,0,1,5.17603353,0.11,0.185236481,0.07,8.27,0.17,16.97,0.18,-2.98,0.08,200,-0.37,1,0.0,2.8695,0.0005,0.006,0,1.507,0.014,1.44,96949,0,"9.38,-0.82,15.62,-0.66,-1.36,5.66,-0.41,2.29,-0.44,5.47,3.84,5.45,-0.44,2.79,12.79"
132,HIP_97649,5,0,1,5.195749333,0.37,0.15476506,0.32,194.94,0.57,536.23,0.51,385.29,0.47,99,23.22,0,0.0,0.8273,0.0011,0.006,1,0.221,0.01,0.27,97318,0,"10.03,-4.55,10.74,1.47,1.08,5.99,-2.86,0.74,-2.68,6.24,2.09,-2.68,0.31,-0.71,6.71"
133,HIP_98337,5,0,1,5.230561793,0.11,0.340201195,0.1,12.61,0.18,66.21,0.14,22.22,0.12,162,-0.08,0,0.0,3.6215,0.0006,0.007,0,1.571,0.001,1.65,98006,0,"9.10,2.30,10.32,0.56,-0.14,5.60,1.38,1.18,0.16,7.25,1.68,2.71,-0.45,2.81,8.55"
134,HIP_100345,75,4,1,5.327664532,0.97,-0.257984116,0.58,9.96,1.09,44.93,1.31,7.39,1.29,84,37.36,2,0.0,3.2104,0.0005,0.004,0,0.79,0.04,0.9,99999,0,"6.12,-4.01,10.52,-0.45,-0.41,5.16,1.40,0.20,-0.58,4.50,-0.57,-2.71,1.84,-2.18,4.03"
135,HIP_101772,5,0,1,5.39990251,0.15,-0.825395218,0.11,33.18,0.18,49.25,0.26,66.54,0.16,75,-0.19,1,0.0,3.2707,0.0006,0.005,0,0.998,0.004,0.98,101423,0,"6.68,-0.77,8.76,0.33,0.52,5.57,-0.97,0.13,0.62,3.79,0.29,-1.33,-0.45,0.93,6.01"
136,HIP_102488,5,0,1,5.437604715,0.07,0.592878807,0.08,44.87,0.12,355.67,0.08,330.59,0.09,189,-0.49,0,0.0,2.6429,0.0003,0.005,0,1.021,0.015,1.0,102135,0,"14.14,2.80,12.15,-0.13,-0.24,8.42,2.53,0.94,0.91,11.85,1.31,2.44,-0.80,2.80,10.46"
137,HIP_104732,7,1,1,5.554232658,0.19,0.527562091,0.22,22.79,0.35,6.51,0.24,-68.21,0.23,180,19.1,0,0.0,3.3743,0.0003,0.004,0,0.99,0.0,0.97,104371,1209,"12.58,0.89,10.77,-0.04,0.35,6.60,-3.75,-2.40,0.49,9.50,-2.32,-1.64,0.26,-0.06,10.19"
138,HIP_106278,5,0,1,5.635487856,0.19,-0.097235008,0.18,6.07,0.23,18.78,0.27,-8.22,0.21,72,2.01,4,0.0,3.0404,0.0006,0.004,0,0.828,0.01,0.82,105913,0,"7.37,-4.35,7.84,0.53,0.66,5.40,0.58,-0.50,-0.16,5.50,-0.87,3.96,-1.62,-4.23,5.55"
139,HIP_107315,5,0,1,5.6905835,0.16,0.172351396,0.11,4.74,0.18,26.9,0.18,0.44,0.12,87,0.55,2,0.0,2.546,0.0012,0.015,2,1.52,0.51,1.42,106949,0,"7.33,-3.82,10.00,-0.86,-0.49,6.09,1.28,-0.64,-0.45,6.01,-1.55,4.10,-1.77,-3.29,8.77"
140,HIP_107556,5,0,1,5.703029525,0.17,-0.281461673,0.14,84.26,0.19,261.69,0.22,-296.7,0.14,61,0.19,0,0.0,2.9409,0.0038,0.025,1,0.18,0.15,0.35,107190,0,"7.05,-3.00,8.20,0.45,-0.24,5.76,-0.10,1.35,-0.77,4.58,1.61,3.60,-2.03,-1.11,7.21"
141,HIP_108085,1,1,1,5.733090559,0.54,-0.652139188,0.37,15.45,0.67,98.08,0.6,-13.24,0.4,92,0.38,1,2.6,2.9763,0.0004,0.004,0,-0.084,0.003,-0.1,107719,0,"1.92,-0.39,2.99,-0.08,0.25,1.61,0.20,0.09,-0.40,1.74,0.10,-0.79,0.78,-0.49,2.56"
142,HIP_109074,5,0,1,5.784822923,0.17,-0.005582022,0.14,6.2,0.19,18.23,0.24,-9.39,0.13,53,-0.24,0,0.0,3.108,0.0006,0.006,0,0.969,0.011,0.92,108705,0,"6.46,-3.02,6.95,0.07,0.67,5.23,-1.40,0.33,-0.17,4.00,1.01,0.82,-0.07,-1.00,7.25"
143,HIP_109268,5,0,1,5.79550224,0.13,-0.819617367,0.14,32.28,0.21,126.68,0.14,-147.47,0.15,135,6.36,0,0.0,1.6983,0.0004,0.005,0,-0.07,0.005,-0.05,108899,0,"12.43,-3.89,10.85,0.39,0.96,6.97,3.91,-0.24,-1.14,10.79,-1.43,-1.84,2.71,-3.03,9.72"
144,HIP_112122,7,0,1,5.945750252,0.36,-0.818290042,0.26,18.43,0.43,135.17,0.44,-4.38,0.31,102,22.45,0,0.0,2.0699,0.0143,0.084,2,1.61,0.3,2.6,111745,1291,"9.06,-1.77,12.12,0.54,1.36,7.42,1.59,-0.53,-1.66,8.89,-1.02,2.68,0.34,-3.83,10.56"
145,HIP_112158,75,4,1,5.947218774,0.43,0.527461319,0.46,15.22,0.71,13.16,0.5,-25.67,0.56,147,42.25,0,0.0,3.0897,0.0004,0.004,0,0.852,0.008,0.87,111781,0,"11.37,-3.58,10.65,-1.21,-2.10,6.20,0.21,0.65,0.85,9.32,0.54,2.97,-0.77,-3.04,7.75"
146,HIP_113368,5,1,1,6.011119421,0.39,-0.516998583,0.3,129.81,0.47,328.96,0.51,-164.66,0.36,84,20.36,0,0.0,1.1808,0.0006,0.004,0,0.145,0.011,0.16,112985,0,"8.37,-3.65,10.47,-0.44,1.81,6.35,1.71,-0.93,-0.19,6.17,-1.91,1.79,-0.43,-2.54,8.43"
147,HIP_113881,5,0,1,6.037845348,0.1,0.49013129,0.1,16.64,0.16,187.64,0.12,136.92,0.13,141,1.53,2,0.0,2.4861,0.0093,0.075,2,1.655,0.01,2.31,113498,0,"11.38,-3.55,12.09,-0.32,-0.81,7.04,-0.88,0.22,0.75,9.70,0.51,4.54,-1.72,-3.97,8.73"
148,HIP_113963,5,0,1,6.042156569,0.17,0.265383727,0.1,24.46,0.18,60.39,0.17,-41.3,0.16,111,2.37,0,0.0,2.4784,0.0004,0.003,0,-0.002,0.003,0.0,113580,0,"8.05,-4.97,12.04,0.67,-0.68,6.40,1.91,0.63,0.55,7.08,-0.23,2.74,-1.09,-1.59,7.41"
