,id,sdbid,name,_r,raj2000,dej2000,pmra,pmde,main_id,sp_type,sp_bibcode,plx_value,plx_err,plx_bibcode,type_short,type_long,star_comp_no,teff,e_teff,plx_arcsec,e_plx_arcsec,lstar,e_lstar,rstar,e_rstar,logg,e_logg,mh,e_mh,a_v,distance,lstar_1pc,e_lstar_1pc,disk_r_comp_no,temp,e_temp,ldisk_lstar,e_ldisk_lstar,rdisk_bb,e_rdisk_bb,ldisk_1pc,e_ldisk_1pc,lam0,e_lam0,beta,e_beta,dmin,e_dmin,q,e_q,model_comps,parameters,evidence,chisq,dof,model_mtime,url,phot_url,mnest_url,model_url,ang_size_band7
5,sdb-v2-010943.92+353714.0,sdb-v2-010943.92+353714.0,HIP 5447,-1.0,17.43301617,35.62055765,175.9,-112.2,* bet And,M0+IIIa,1989ApJS...71..245K,16.52,0.56,2007A&A...474..653V,PM*,High proper-motion Star,0,3927.1,4.16372,0.01652,0.00056,1393.44,96.9302,80.6001,2.79535,2.24471,0.0300029,0.459184,0.0277815,0.0,60.53268765133172,0.379386,0.00464135,1,537.726,234.444,0.00095412,0.000938908,9.94061,10.0344,0.000361258,0.000357006,16.1829,5.38879,2.40058,0.384352,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[3.927101e+03,2.244713e+00,4.591843e-01,2.484473e-01,2.730561e+00,1.209058e+00,2.400581e+00,7.161094e-01]",-276.54,486.583,39,1658917478.853981,http://drgmk.com/sdb/seds/masters/sdb-v2-010943.92+353714.0/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-010943.92+353714.0/public/sdb-v2-010943.92+353714.0-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-010943.92+353714.0/public/sdb-v2-010943.92+353714.0-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-010943.92+353714.0/public/sdb-v2-010943.92+353714.0-mnest/phoenix_m+modbb_disk_r_.json,0.012338455802109224
11,sdb-v2-030216.77+040523.1,sdb-v2-030216.77+040523.1,HIP 14135,-1.0,45.5698878,4.08973877,-10.41,-76.85,* alf Cet,M1.5IIIa,1989ApJS...71..245K,13.09,0.44,2007A&A...474..653V,LP?,Long Period Variable candidate,0,3416.48,7.12356,0.01309,0.00044,1568.41,99.6136,113.158,3.64253,4.47028,0.0238674,-3.44846,0.054425,0.0,76.39419404125287,0.270287,0.00197225,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[3.416478e+03,4.470282e+00,-3.448456e+00,3.435839e-01]",-124.669,204.16,48,1665332331.877259,http://drgmk.com/sdb/seds/masters/sdb-v2-030216.77+040523.1/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-030216.77+040523.1/public/sdb-v2-030216.77+040523.1-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-030216.77+040523.1/public/sdb-v2-030216.77+040523.1-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-030216.77+040523.1/public/sdb-v2-030216.77+040523.1-mnest/phoenix_m_.json,0.013725876773710273
15,sdb-v2-043555.24+163033.5,sdb-v2-043555.24+163033.5,HIP 21421,-1.0,68.98016279,16.50930235,63.45,-188.94,* alf Tau,K5+III,1989ApJS...71..245K,48.94,0.77,2007A&A...474..653V,LP?,Long Period Variable candidate,0,3907.2,6.21707,0.04894,0.00077,434.116,13.7001,45.4665,0.733091,3.16132,0.0402784,-0.232061,0.0164589,0.0,20.43318348998774,1.03901,0.00832161,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[3.907204e+03,3.161322e+00,-2.320608e-01,6.948265e-01]",-301.82,559.428,41,1665333108.323213,http://drgmk.com/sdb/seds/masters/sdb-v2-043555.24+163033.5/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-043555.24+163033.5/public/sdb-v2-043555.24+163033.5-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-043555.24+163033.5/public/sdb-v2-043555.24+163033.5-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-043555.24+163033.5/public/sdb-v2-043555.24+163033.5-mnest/phoenix_m_.json,0.020619146045045403
32,sdb-v2-055510.31+072425.4,sdb-v2-055510.31+072425.4,HIP 27989,-1.0,88.79293899,7.407064,27.54,11.3,* alf Ori,M1-M2Ia-Iab,1989ApJS...71..245K,6.55,0.83,2007A&A...474..653V,s*r,Red Supergiant,0,2902.84,93.9375,0.00655,0.00083,59162.2,17028.4,958.057,120.078,3.35933,0.783524,-1.67479,0.641237,0.0,152.67175572519082,2.49216,0.266092,1,492.392,61.0766,0.00770917,0.00211379,76.8338,21.3561,0.0190561,0.00492776,36.3521,3.17933,2.55644,0.353216,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[2.902837e+03,3.359334e+00,-1.674793e+00,1.591723e+00,2.692311e+00,1.560529e+00,2.556435e+00,2.566527e+00]",-39.9821,25.1611,12,1665334074.376395,http://drgmk.com/sdb/seds/masters/sdb-v2-055510.31+072425.4/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-055510.31+072425.4/public/sdb-v2-055510.31+072425.4-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-055510.31+072425.4/public/sdb-v2-055510.31+072425.4-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-055510.31+072425.4/public/sdb-v2-055510.31+072425.4-mnest/phoenix_m+modbb_disk_r_.json,0.05814974766411852
33,sdb-v2-061452.65+223024.4,sdb-v2-061452.65+223024.4,HIP 29655,-1.0,93.71935536,22.50678733,-59.53,-7.766,* eta Gem,M2IIIa,1989ApJS...71..245K,4.7312,1.0207,2018yCat.1345....0G,RG*,Red Giant Branch star,0,3213.74,34.9168,0.0047312,0.0010207,8309.24,3782.66,294.82,65.4857,3.7705,1.021,-1.79902,0.445703,0.0,211.36286777138994,0.187807,0.00490413,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[3.213737e+03,3.770498e+00,-1.799019e+00,2.895546e-01]",-32.7553,30.3472,17,1665334165.725554,http://drgmk.com/sdb/seds/masters/sdb-v2-061452.65+223024.4/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-061452.65+223024.4/public/sdb-v2-061452.65+223024.4-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-061452.65+223024.4/public/sdb-v2-061452.65+223024.4-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-061452.65+223024.4/public/sdb-v2-061452.65+223024.4-mnest/phoenix_m_.json,0.012925383427049296
36,sdb-v2-062257.63+223048.9,sdb-v2-062257.63+223048.9,HIP 30343,-1.0,95.74011193,22.51358275,56.39,-110.03,* mu. Gem,M3IIIab,1989ApJS...71..245K,14.08,0.71,2007A&A...474..653V,LP*,Long-Period Variable,0,3259.29,6.81524,0.01408,0.00071,1462.98,148.641,119.955,6.13125,4.39428,0.0846573,-1.48986,0.0473495,0.0,71.02272727272727,0.290571,0.00369038,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[3.259292e+03,4.394280e+00,-1.489857e+00,4.561112e-01]",-67.3482,92.5424,14,1665334300.73179,http://drgmk.com/sdb/seds/masters/sdb-v2-062257.63+223048.9/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-062257.63+223048.9/public/sdb-v2-062257.63+223048.9-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-062257.63+223048.9/public/sdb-v2-062257.63+223048.9-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-062257.63+223048.9/public/sdb-v2-062257.63+223048.9-mnest/phoenix_m_.json,0.015650787542693206
57,sdb-v2-090759.76-432557.3,sdb-v2-090759.76-432557.3,HIP 44816,-1.0,136.99899114,-43.43259091,-24.01,13.52,* lam Vel,K4Ib,1989ApJS...71..245K,5.99,0.11,2007A&A...474..653V,LP*,Long-Period Variable,0,3381.67,10.2855,0.00599,0.00011,8554.54,334.066,269.441,5.29553,4.48188,0.0167685,-3.96537,0.0314188,0.0,166.9449081803005,0.306554,0.00226419,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[3.381667e+03,4.481884e+00,-3.965374e+00,4.156094e-01]",-224.545,402.193,10,1665336270.222838,http://drgmk.com/sdb/seds/masters/sdb-v2-090759.76-432557.3/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-090759.76-432557.3/public/sdb-v2-090759.76-432557.3-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-090759.76-432557.3/public/sdb-v2-090759.76-432557.3-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-090759.76-432557.3/public/sdb-v2-090759.76-432557.3-mnest/phoenix_m_.json,0.01495566367648396
82,sdb-v2-141539.67+191056.7,sdb-v2-141539.67+191056.7,HIP 69673,-1.0,213.91530029,19.18240916,-1093.39,-2000.06,* alf Boo,K1.5IIIFe-0.5,1989ApJS...71..245K,88.83,0.54,2007A&A...474..653V,RG*,Red Giant Branch star,0,4355.37,10.7148,0.08883,0.00054,211.132,3.27028,25.5336,0.226255,2.07847,0.065725,-0.223006,0.0372186,0.0,11.257458065968704,1.66566,0.0142528,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[4.355369e+03,2.078471e+00,-2.230057e-01,7.111132e-01]",-90.0271,137.555,46,1665339369.167441,http://drgmk.com/sdb/seds/masters/sdb-v2-141539.67+191056.7/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-141539.67+191056.7/public/sdb-v2-141539.67+191056.7-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-141539.67+191056.7/public/sdb-v2-141539.67+191056.7-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-141539.67+191056.7/public/sdb-v2-141539.67+191056.7-mnest/phoenix_m_.json,0.021017782758682397
88,sdb-v2-150404.22-251655.1,sdb-v2-150404.22-251655.1,HIP 73714,-1.0,226.01756699,-25.28196129,-71.16,-43.34,* sig Lib,M2.5III,1989ApJS...71..245K,11.31,0.25,2007A&A...474..653V,LP*,Long-Period Variable,0,3271.92,7.24388,0.01131,0.00025,1485.42,70.141,120.033,2.8851,4.41507,0.0837164,-1.94379,0.150429,0.0,88.41732979664013,0.190264,0.00289718,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[3.271922e+03,4.415066e+00,-1.943792e+00,2.658668e-01]",-119.44,197.991,17,1665339751.718496,http://drgmk.com/sdb/seds/masters/sdb-v2-150404.22-251655.1/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-150404.22-251655.1/public/sdb-v2-150404.22-251655.1-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-150404.22-251655.1/public/sdb-v2-150404.22-251655.1-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-150404.22-251655.1/public/sdb-v2-150404.22-251655.1-mnest/phoenix_m_.json,0.012579936579186995
99,sdb-v2-162924.46-262555.2,sdb-v2-162924.46-262555.2,HIP 80763,-1.0,247.35191542,-26.43200261,-12.11,-23.3,* alf Sco,M0.5Iab+B3V:,1984ApJS...55..657C,5.89,1.0,2007A&A...474..653V,**,Double or multiple star,0,3008.09,44.1748,0.00589,0.001,65318.2,22313.2,940.731,164.084,2.22315,0.278627,-1.99707,0.0937193,0.0,169.7792869269949,2.223,0.150372,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[3.008090e+03,2.223152e+00,-1.997066e+00,1.480817e+00]",-22.5951,13.0732,6,1665340615.769879,http://drgmk.com/sdb/seds/masters/sdb-v2-162924.46-262555.2/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-162924.46-262555.2/public/sdb-v2-162924.46-262555.2-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-162924.46-262555.2/public/sdb-v2-162924.46-262555.2-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-162924.46-262555.2/public/sdb-v2-162924.46-262555.2-mnest/phoenix_m_.json,0.051344737339482374
108,sdb-v2-171438.86+142325.2,sdb-v2-171438.86+142325.2,HIP 84345,-1.0,258.66190909,14.39034061,-7.32,36.07,* alf Her,M5Ib-II+G5III+F2V:,2014yCat....1.2023S,9.07,1.32,2007A&A...474..653V,**,Double or Multiple Star,0,2808.86,19.8095,0.00907,0.00132,12066.6,3819.47,464.367,71.8332,4.16381,0.198437,0.0366489,0.160152,0.0,110.25358324145535,1.00926,0.0265215,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[2.808856e+03,4.163806e+00,3.664894e-02,1.256496e+00]",-34.6154,29.0845,7,1665341250.0794828,http://drgmk.com/sdb/seds/masters/sdb-v2-171438.86+142325.2/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-171438.86+142325.2/public/sdb-v2-171438.86+142325.2-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-171438.86+142325.2/public/sdb-v2-171438.86+142325.2-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-171438.86+142325.2/public/sdb-v2-171438.86+142325.2-mnest/phoenix_m_.json,0.039028676341731246
120,sdb-v2-181737.64-364542.1,sdb-v2-181737.64-364542.1,HIP 89642,-1.0,274.40681272,-36.7616852,-129.56,-166.26,* eta Sgr,M2III,1982MSS...C03....0H,22.35,0.24,2007A&A...474..653V,LP?,Long-Period Variable Candidate,0,3277.52,22.0405,0.02235,0.00024,413.344,11.6901,62.8023,0.95876,3.03333,0.890026,-2.12598,0.388627,0.0,44.742729306487696,0.206076,0.00489077,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[3.277516e+03,3.033326e+00,-2.125982e+00,2.944518e-01]",-22.3547,29.8657,17,1665342050.861397,http://drgmk.com/sdb/seds/masters/sdb-v2-181737.64-364542.1/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-181737.64-364542.1/public/sdb-v2-181737.64-364542.1-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-181737.64-364542.1/public/sdb-v2-181737.64-364542.1-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-181737.64-364542.1/public/sdb-v2-181737.64-364542.1-mnest/phoenix_m_.json,0.013006734123252517
144,sdb-v2-224240.05-465304.5,sdb-v2-224240.05-465304.5,HIP 112122,-1.0,340.66687613,-46.88457644,135.16,-4.38,* bet Gru,M4.5III,1989ApJS...71..245K,18.43,0.42,2007A&A...474..653V,LP?,Long-Period Variable Candidate,0,3114.98,8.02361,0.01843,0.00042,2580.08,125.974,174.491,4.43355,4.37759,0.11511,-1.05052,0.0610018,0.0,54.25935973955508,0.878359,0.0161377,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"('phoenix_m',)","[3.114983e+03,4.377588e+00,-1.050524e+00,1.016655e+00]",-41.8298,41.1246,15,1665343915.956316,http://drgmk.com/sdb/seds/masters/sdb-v2-224240.05-465304.5/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-224240.05-465304.5/public/sdb-v2-224240.05-465304.5-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-224240.05-465304.5/public/sdb-v2-224240.05-465304.5-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-224240.05-465304.5/public/sdb-v2-224240.05-465304.5-mnest/phoenix_m_.json,0.029799813968315547
147,sdb-v2-230346.46+280458.0,sdb-v2-230346.46+280458.0,HIP 113881,-1.0,345.94357275,28.08278712,187.65,136.93,* bet Peg,M2.5II-III,1989ApJS...71..245K,16.64,0.15,2007A&A...474..653V,LP*,Long-period variable star,0,3323.54,13.1567,0.01664,0.00015,1195.41,29.7516,104.257,1.90358,4.3412,0.0809152,-3.24939,0.127038,0.0,60.096153846153854,0.331068,0.00556426,1,782.852,152.927,0.00671403,0.00327037,4.35275,1.94214,0.00220557,0.0010757,34.7033,16.0919,1.91162,0.369886,None,None,None,None,"('phoenix_m', 'modbb_disk_r')","[3.323536e+03,4.341203e+00,-3.249394e+00,4.795903e-01,2.893680e+00,1.540371e+00,1.911623e+00,8.222861e-01]",-154.587,245.72,27,1658978485.311888,http://drgmk.com/sdb/seds/masters/sdb-v2-230346.46+280458.0/public/,http://drgmk.com/sdb/seds/masters/sdb-v2-230346.46+280458.0/public/sdb-v2-230346.46+280458.0-rawphot.txt,http://drgmk.com/sdb/seds/masters/sdb-v2-230346.46+280458.0/public/sdb-v2-230346.46+280458.0-mnest,http://drgmk.com/sdb/seds/masters/sdb-v2-230346.46+280458.0/public/sdb-v2-230346.46+280458.0-mnest/phoenix_m+modbb_disk_r_.json,0.016075842106624338
